white_track_id,plot_id,system_id
1,1512,1
1,1513,1
1,1514,1
1,1515,1
1,1516,1
1,1517,1
1,1518,1
1,1519,1
1,1520,1
1,1521,1
1,1522,1
1,1523,1
1,1524,1
1,1525,1
1,1526,1
1,1527,1
1,1528,1
1,1529,1
1,1530,1
1,1531,1
1,1532,1
1,1533,1
1,1534,1
1,1535,1
1,1536,1
1,1537,1
1,1538,1
1,1539,1
1,1540,1
1,1541,1
1,1542,1
1,1543,1
1,1544,1
1,1545,1
1,1546,1
1,1547,1
1,1548,1
1,1549,1
1,1550,1
1,1551,1
1,1552,1
1,1553,1
1,1554,1
1,1555,1
1,1556,1
1,1557,1
1,1558,1
1,1559,1
1,1560,1
1,1561,1
1,1562,1
1,1563,1
1,1564,1
1,1565,1
1,1566,1
1,1567,1
1,1568,1
1,1569,1
1,1570,1
1,1571,1
1,1572,1
1,1573,1
1,1574,1
1,1575,1
1,1576,1
1,1577,1
1,1578,1
1,1579,1
1,1580,1
1,1581,1
1,1582,1
1,1583,1
1,1584,1
1,1585,1
1,1586,1
1,1587,1
1,1588,1
1,1589,1
1,1590,1
1,1591,1
1,1592,1
1,1593,1
1,1594,1
1,1595,1
1,1597,1
1,1598,1
1,1599,1
1,1600,1
1,1601,1
1,1602,1
1,1604,1
1,1605,1
1,1606,1
1,1607,1
1,1608,1
1,1609,1
1,1611,1
1,1612,1
1,1613,1
1,1614,1
1,1615,1
1,1616,1
1,1617,1
1,1618,1
1,1619,1
1,1620,1
1,1621,1
1,1622,1
1,1623,1
1,1624,1
1,1625,1
1,1626,1
1,1627,1
1,1628,1
1,1629,1
1,1630,1
1,1631,1
1,1632,1
1,1633,1
1,1635,1
1,1636,1
1,1637,1
1,1638,1
1,1639,1
1,1640,1
1,1641,1
1,1642,1
1,1643,1
1,1644,1
1,1645,1
1,1646,1
1,1647,1
1,1648,1
1,1649,1
1,1650,1
1,1651,1
1,1652,1
1,1653,1
1,1654,1
1,1655,1
1,1656,1
1,1657,1
1,1658,1
1,1659,1
1,1660,1
1,1661,1
1,1662,1
1,1663,1
1,1664,1
1,1665,1
1,1666,1
1,1667,1
1,1668,1
1,1669,1
1,1670,1
1,1671,1
1,1672,1
1,1673,1
1,1674,1
1,1675,1
1,1676,1
1,1679,2
1,1680,2
1,1681,2
1,1682,2
1,1683,2
1,1684,2
1,1685,2
1,1686,2
1,1687,2
1,1688,2
1,1689,2
1,1690,2
1,1691,2
1,1692,2
1,1693,2
1,1694,2
1,1695,2
1,1696,2
1,1697,2
1,1698,2
1,1699,2
1,1700,2
1,1701,2
1,1702,2
1,1703,2
1,1704,2
1,1705,2
1,1706,2
1,1707,2
1,1708,2
1,1709,2
1,1710,2
1,1711,2
1,1712,2
1,1713,2
1,1714,2
1,1715,2
1,1716,2
1,1717,2
1,1718,2
1,1720,2
1,1721,2
1,1722,2
1,1723,2
1,1724,2
1,1725,2
1,1727,2
1,1728,2
1,1729,2
1,1730,2
1,1731,2
1,1732,2
1,1733,2
1,1734,2
1,1735,2
1,1736,2
1,1737,2
1,1738,2
1,1739,2
1,1740,2
1,1741,2
1,1742,2
1,1743,2
1,1744,2
1,1745,2
1,1746,2
1,1747,2
1,1748,2
1,1749,2
1,1750,2
1,1751,2
1,1752,2
1,1753,2
1,1754,2
1,1755,2
1,1756,2
1,1757,2
1,1758,2
1,1759,2
1,1760,2
1,1761,2
