system_id,plot_id,t,x,y,z,sig_x,sig_y,sig_z,target_id,latitude,longitude,altitude,STN
1,1001,5.0,4488539.878940539,3080661.7985040983,3322875.678171557,500,500,500,1,31.569910517286427,34.46334399943359,5695.508702094667,1
1,1002,6.5,4487905.047979391,3082352.921935246,3325338.6386760096,500,500,500,1,31.586768013131188,34.481797782389705,7354.873543395661,1
1,1003,8.0,4490021.888229271,3082309.906978115,3325663.601542336,500,500,500,1,31.581143995520858,34.46881677621723,8990.900662960485,1
1,1004,9.5,4489723.711338886,3083119.495861306,3327887.745802808,500,500,500,1,31.597202840720325,34.47761363881233,10336.916263276711,1
1,1005,11.0,4490027.620647924,3083122.1015464244,3329656.678770496,500,500,500,1,31.609578190952632,34.4758264859216,11478.532612727024,1
1,1006,12.5,4491344.778066891,3084250.630199281,3331813.25908697,500,500,500,1,31.61797137122553,34.47776914527418,14077.692602390423,1
1,1007,14.0,4491394.160337383,3084926.25248379,3333127.052364295,500,500,500,1,31.62604121176341,34.483331657046904,15126.892338040285,1
1,1008,15.5,4491309.914536196,3084114.7238640874,3334505.568829517,500,500,500,1,31.63909677652256,34.47679850859041,15399.589381567204,1
1,1009,17.0,4492627.122954785,3084862.752668208,3336059.4551201835,500,500,500,1,31.643874431447387,34.475442343401745,17499.690270618536,1
1,1010,18.5,4492679.003236332,3086487.6723350347,3338324.9011816867,500,500,500,1,31.656673739627823,34.48921423315055,19507.97335778084,1
1,1011,20.0,4493296.644729476,3086761.4877106925,3339375.890668665,500,500,500,1,31.661582519462133,34.487910406265065,20624.89854725916,1
1,1012,21.5,4493991.495415536,3087855.633526201,3340888.682673742,500,500,500,1,31.667530058822287,34.49325264285199,22433.83425052557,1
1,1013,23.0,4494143.987801943,3087265.8009780915,3342811.874350734,500,500,500,1,31.68322106225403,34.48723666127571,23266.43041049596,1
1,1014,24.5,4494954.100707076,3087678.3471280835,3344002.1259110025,500,500,500,1,31.688067477404715,34.485989920350875,24658.6017987933,1
1,1015,26.0,4495552.424962272,3089454.994853228,3345774.4250118234,500,500,500,1,31.69453843597141,34.49781351592697,26865.355442587286,1
1,1016,27.5,4495519.572860554,3089664.3242915967,3347793.5183866485,500,500,500,1,31.709532564133788,34.49982101282511,28004.22949415259,1
1,1017,29.0,4496417.424755092,3089703.184404435,3348334.9471638068,500,500,500,1,31.710072139312995,34.494816536071575,28937.043053196743,1
1,1018,30.5,4496025.873397096,3090585.5295443474,3350613.368385487,500,500,500,1,31.726634508136,34.50478226599462,30285.537064199336,1
1,1019,32.0,4497568.209483844,3090802.407533169,3351434.3542332626,500,500,500,1,31.7263230682863,34.49748570986539,31902.877427867614,1
1,1020,33.5,4498221.627601201,3091600.780081437,3353433.509085415,500,500,500,1,31.736903752255166,34.50050788200579,33796.92372732144,1
1,1021,35.0,4497851.218633369,3092362.8489069724,3354740.823267315,500,500,500,1,31.74627999601705,34.509302657706925,34592.2230663877,1
1,1022,36.5,4498820.455385574,3092329.4313359354,3356158.33172442,500,500,500,1,31.75341061276774,34.503250475005096,36001.22323234752,1
1,1023,38.0,4498902.246674534,3092930.6611492084,3356258.963747544,500,500,500,1,31.752252578205177,34.50796403520895,36401.10654985812,1
1,1024,39.5,4498806.280371977,3093895.8886372456,3359063.034715208,500,500,500,1,31.77142061977489,34.51688121349775,38274.88999483641,1
1,1025,41.0,4498621.067433524,3093489.9188225404,3359782.5965620778,500,500,500,1,31.77871063347082,34.514472182766944,38328.505778701045,1
1,1026,42.5,4498921.457229203,3094513.2587348507,3360859.653562361,500,500,500,1,31.783011393772338,34.52153400817861,39599.10541626252,1
1,1027,44.0,4500404.224028566,3094217.299467925,3362537.074684433,500,500,500,1,31.790813137224887,34.510160296969175,41378.66616893653,1
1,1028,45.5,4500427.642087869,3095438.284955047,3363738.0942794182,500,500,500,1,31.79660203323714,34.52057487225692,42615.87175342534,1
1,1029,47.0,4501927.4118996905,3095976.6129331617,3363961.1004359256,500,500,500,1,31.79102839204977,34.51631332386177,44042.95198766049,1
1,1030,48.5,4501598.929224615,3096083.760300297,3365611.0265800995,500,500,500,1,31.804577929816865,34.519191127389895,44733.90801747143,1
1,1031,50.0,4501566.8222368425,3096203.100634373,3367494.732475114,500,500,500,1,31.818717766696704,34.52041309324227,45761.85327363573,1
1,1032,51.5,4502772.497987775,3095941.462531884,3368867.922305617,500,500,500,1,31.825174048634143,34.51098866907345,47204.06010836642,1
1,1033,53.0,4503030.048545319,3097700.737005236,3369814.313136562,500,500,500,1,31.826664238114983,34.52465584183147,48730.467158690095,1
1,1034,54.5,4502926.508806971,3097020.285276053,3371429.728450528,500,500,500,1,31.841169769696894,34.519393688436715,49182.43504087441,1
1,1035,56.0,4504252.91106504,3097476.574144023,3371209.8452688926,500,500,500,1,31.83311883734888,34.515455879321735,50214.573744802736,1
1,1036,57.5,4503560.669327392,3098202.679552815,3372833.8525775624,500,500,500,1,31.846212614665404,34.52583822967172,50936.34725078009,1
1,1037,59.0,4503565.441515883,3098739.7373735704,3374581.684333561,500,500,500,1,31.85803823534056,34.53044735259186,52120.63790200371,1
1,1038,60.5,4505136.002342214,3097864.7038457263,3374725.4408868803,500,500,500,1,31.85536266408682,34.513563543492445,52874.39256594703,1
1,1039,62.0,4504571.15658644,3099594.37684328,3375815.928185581,500,500,500,1,31.86121554162717,34.53185135715058,53887.294566608034,1
1,1040,63.5,4505136.763907703,3099174.2969262307,3376830.797208115,500,500,500,1,31.86784725782951,34.52486578240164,54616.58306440245,1
1,1041,65.0,4505741.317302846,3100027.062252642,3377388.93812164,500,500,500,1,31.86745269564687,34.528636534477904,55744.738848500885,1
1,1042,66.5,4504573.960156804,3100532.24689541,3378932.878621544,500,500,500,1,31.882361588941706,34.53992985432318,55986.60498003755,1
1,1043,68.0,4506284.993238467,3100460.8815340744,3379575.908706274,500,500,500,1,31.88077884794048,34.529152246946744,57488.76155588124,1
1,1044,69.5,4506701.590855025,3101165.4325101986,3381109.441336338,500,500,500,1,31.88891016728626,34.53275820642348,58929.32536337711,1
1,1045,71.0,4506509.136410318,3101461.910039,3382769.0299250567,500,500,500,1,31.90145453064388,34.53645883104153,59814.29113868904,1
1,1046,72.5,4506306.835919484,3102056.5453285445,3383313.3042142545,500,500,500,1,31.90477750605909,34.542790098454034,60246.67823825125,1
1,1047,74.0,4507647.073354431,3102068.991200927,3382402.661435103,500,500,500,1,31.89262615400384,34.534940145116586,60708.75405354332,1
1,1048,75.5,4508228.845320975,3104318.38733532,3383420.049464638,500,500,500,1,31.89206142235068,34.550884290577955,62736.05166697968,1
1,1049,77.0,4507371.118306131,3102676.627018063,3384488.1889228714,500,500,500,1,31.90788782579968,34.54181938301152,61910.32288862672,1
1,1050,78.5,4508021.856854834,3103208.447133603,3385631.235451296,500,500,500,1,31.91259928233649,34.54254272529243,63225.5183556024,1
